productkey  modelname                                          color
1           NULL                                               NA
2           NULL                                               NA
3           NULL                                               NA
4           NULL                                               NA
5           NULL                                               NA
6           NULL                                               Black
7           NULL                                               Black
8           NULL                                               Black
9           NULL                                               Silver
10          NULL                                               Silver
11          NULL                                               Black
12          NULL                                               NA
13          NULL                                               NA
14          NULL                                               NA
15          NULL                                               NA
16          NULL                                               NA
17          NULL                                               NA
18          NULL                                               NA
19          NULL                                               NA
20          NULL                                               NA
21          NULL                                               Silver
22          NULL                                               NA
23          NULL                                               NA
24          NULL                                               NA
25          NULL                                               NA
26          NULL                                               NA
27          NULL                                               NA
28          NULL                                               NA
29          NULL                                               NA
30          NULL                                               NA
31          NULL                                               NA
32          NULL                                               Silver
33          NULL                                               Silver
34          NULL                                               NA
35          NULL                                               NA
36          NULL                                               NA
37          NULL                                               NA
38          NULL                                               NA
39          NULL                                               NA
40          NULL                                               NA
41          NULL                                               NA
42          NULL                                               NA
43          NULL                                               NA
44          NULL                                               NA
45          NULL                                               NA
46          NULL                                               NA
47          NULL                                               NA
48          NULL                                               NA
49          NULL                                               NA
50          NULL                                               NA
51          NULL                                               NA
52          NULL                                               NA
53          NULL                                               NA
54          NULL                                               NA
55          NULL                                               NA
56          NULL                                               NA
57          NULL                                               NA
58          NULL                                               NA
59          NULL                                               NA
60          NULL                                               NA
61          NULL                                               NA
62          NULL                                               NA
63          NULL                                               NA
64          NULL                                               NA
65          NULL                                               NA
66          NULL                                               NA
67          NULL                                               NA
68          NULL                                               NA
69          NULL                                               NA
70          NULL                                               NA
71          NULL                                               NA
72          NULL                                               NA
73          NULL                                               NA
74          NULL                                               NA
75          NULL                                               NA
76          NULL                                               NA
77          NULL                                               NA
78          NULL                                               NA
79          NULL                                               NA
80          NULL                                               NA
81          NULL                                               NA
82          NULL                                               NA
83          NULL                                               NA
84          NULL                                               NA
85          NULL                                               NA
86          NULL                                               NA
87          NULL                                               NA
88          NULL                                               NA
89          NULL                                               NA
90          NULL                                               NA
91          NULL                                               NA
92          NULL                                               NA
93          NULL                                               NA
94          NULL                                               NA
95          NULL                                               NA
96          NULL                                               NA
97          NULL                                               NA
98          NULL                                               NA
99          NULL                                               NA
100         NULL                                               NA
101         NULL                                               NA
102         NULL                                               NA
103         NULL                                               NA
104         NULL                                               NA
105         NULL                                               NA
106         NULL                                               NA
107         NULL                                               NA
108         NULL                                               NA
109         NULL                                               NA
110         NULL                                               NA
111         NULL                                               NA
112         NULL                                               NA
113         NULL                                               NA
114         NULL                                               NA
115         NULL                                               NA
116         NULL                                               NA
117         NULL                                               NA
118         NULL                                               NA
119         NULL                                               NA
120         NULL                                               NA
121         NULL                                               NA
122         NULL                                               NA
123         NULL                                               NA
124         NULL                                               NA
125         NULL                                               NA
126         NULL                                               NA
127         NULL                                               NA
128         NULL                                               NA
129         NULL                                               NA
130         NULL                                               NA
131         NULL                                               NA
132         NULL                                               NA
133         NULL                                               NA
134         NULL                                               NA
135         NULL                                               NA
136         NULL                                               NA
137         NULL                                               NA
138         NULL                                               NA
139         NULL                                               NA
140         NULL                                               Silver
141         NULL                                               NA
142         NULL                                               NA
143         NULL                                               NA
144         NULL                                               NA
145         NULL                                               NA
146         NULL                                               NA
147         NULL                                               NA
148         NULL                                               NA
149         NULL                                               NA
150         NULL                                               NA
151         NULL                                               NA
152         NULL                                               NA
153         NULL                                               NA
154         NULL                                               NA
155         NULL                                               NA
156         NULL                                               NA
157         NULL                                               NA
158         NULL                                               NA
159         NULL                                               NA
160         NULL                                               NA
161         NULL                                               NA
162         NULL                                               NA
163         NULL                                               NA
164         NULL                                               NA
165         NULL                                               NA
166         NULL                                               NA
167         NULL                                               NA
168         NULL                                               NA
169         NULL                                               NA
170         NULL                                               NA
171         NULL                                               NA
172         NULL                                               NA
173         NULL                                               NA
174         NULL                                               NA
175         NULL                                               NA
176         NULL                                               NA
177         NULL                                               NA
178         NULL                                               NA
179         NULL                                               NA
180         NULL                                               NA
181         NULL                                               NA
182         NULL                                               NA
183         NULL                                               NA
184         NULL                                               NA
185         NULL                                               NA
186         NULL                                               NA
187         NULL                                               NA
188         NULL                                               NA
189         NULL                                               NA
190         NULL                                               NA
191         NULL                                               NA
192         NULL                                               NA
193         NULL                                               NA
194         NULL                                               NA
195         NULL                                               NA
196         NULL                                               NA
197         NULL                                               NA
198         NULL                                               NA
199         NULL                                               NA
200         NULL                                               NA
201         NULL                                               NA
202         NULL                                               NA
203         NULL                                               NA
204         NULL                                               NA
205         NULL                                               NA
206         NULL                                               NA
207         NULL                                               NA
208         NULL                                               NA
209         NULL                                               Silver
210         HL Road Frame                                      Black
211         HL Road Frame                                      Red
214         Sport-100                                          Red
217         Sport-100                                          Black
222         Sport-100                                          Blue
225         Cycling Cap                                        Multi
228         Long-Sleeve Logo Jersey                            Multi
231         Long-Sleeve Logo Jersey                            Multi
234         Long-Sleeve Logo Jersey                            Multi
237         Long-Sleeve Logo Jersey                            Multi
240         HL Road Frame                                      Red
243         HL Road Frame                                      Red
246         HL Road Frame                                      Red
249         HL Road Frame                                      Red
252         HL Road Frame                                      Red
255         LL Road Frame                                      Black
258         LL Road Frame                                      Black
261         LL Road Frame                                      Black
281         LL Road Frame                                      Black
284         LL Road Frame                                      Black
287         LL Road Frame                                      Black
290         HL Mountain Frame                                  Silver
295         HL Mountain Frame                                  Silver
298         HL Mountain Frame                                  Black
303         HL Mountain Frame                                  Black
306         HL Mountain Frame                                  Black
309         HL Mountain Frame                                  Silver
353         Mountain-200                                       Silver
355         Mountain-200                                       Silver
357         Mountain-200                                       Silver
359         Mountain-200                                       Black
361         Mountain-200                                       Black
363         Mountain-200                                       Black
372         Road-250                                           Red
374         Road-250                                           Black
376         Road-250                                           Black
378         Road-250                                           Black
380         Road-250                                           Black
382         Road-550-W                                         Yellow
384         Road-550-W                                         Yellow
386         Road-550-W                                         Yellow
388         Road-550-W                                         Yellow
390         Road-550-W                                         Yellow
398         LL Mountain Handlebars                             NA
400         ML Mountain Handlebars                             NA
402         HL Mountain Handlebars                             NA
404         LL Road Handlebars                                 NA
406         ML Road Handlebars                                 NA
408         HL Road Handlebars                                 NA
418         ML Road Frame-W                                    Yellow
430         ML Road Frame-W                                    Yellow
432         ML Road Frame-W                                    Yellow
434         ML Road Frame-W                                    Yellow
436         ML Road Frame-W                                    Yellow
438         HL Road Frame                                      Black
440         HL Road Frame                                      Black
442         HL Road Frame                                      Black
444         HL Road Frame                                      Black
463         Half-Finger Gloves                                 Black
465         Half-Finger Gloves                                 Black
467         Half-Finger Gloves                                 Black
471         Classic Vest                                       Blue
472         Classic Vest                                       Blue
473         Classic Vest                                       Blue
474         Women's Mountain Shorts                            Black
475         Women's Mountain Shorts                            Black
476         Women's Mountain Shorts                            Black
477         Water Bottle                                       NA
478         Mountain Bottle Cage                               NA
479         Road Bottle Cage                                   NA
480         Patch kit                                          NA
481         Racing Socks                                       White
